File,Date,collector,Block,ID,Stem Length,Stem Count,Damage
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,7,12,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,8,10.5,13,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,9,10,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,10,13.5,15,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,11,10.5,6,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,12,4.5,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,13,9,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,14,6,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,15,4,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,16,14,3,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,17,8.5,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,18,10,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,19,9.5,5,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,20,16,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,21,NA,NA,NA
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,22,8,6,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,23,8,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,24,6,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,25,5.5,14,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,26,2,6,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,27,5.5,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,28,8.5,,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,29,10,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,30,12,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,31,6.5,13,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,32,6.5,6,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,33,9.5,13,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,34,9,16,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,35,5.5,4,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,36,12.5,18,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,37,11,4,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,38,10,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,39,3.5,6,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,40,4,12,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,41,12.5,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,42,14.5,14,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,43,15,18,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,44,10,5,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,45,4,7,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,46,8.5,9,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,47,13,17,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,48,10,10,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,49,12,8,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,50,7.5,14,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,51,7.5,4,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,52,7,12,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,53,6,9,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,54,13,11,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,55,4,9,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,56,15.5,12,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,57,8.5,11,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,58,3,12,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,59,14,6,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,60,11,9,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,61,7,8,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,62,9,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,63,16,14,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,64,7,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,65,19,16,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,66,NA,NA,NA
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,67,10.5,17,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,68,8.5,3,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,69,8.5,7,1
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,70,7,6,0
BIOL 307 Purple Loosestrife Data Meg & Han.csv,2018-05-20,Megan,E9,71,7,18,0
